,molecule_chembl_id,canonical_smiles,standard_value
18,CHEMBL1971127,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)n3cc(C[C@@H](C)CC)nn3)CC2)nc(N2CCN(C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)n3cc(C[C@@H](C)CC)nn3)CC2)n1,7102.0
19,CHEMBL1575594,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C4OC4C(=O)[C@@]3(C)[C@@H](O)[C@H]12,49739.0
20,CHEMBL1971913,O=C(O)C(F)(F)F.c1cc(SC2CCCCC2)cc(-c2nc3cnccn3c2NC2CCCCC2)c1,4833.0
21,CHEMBL1865393,COc1ccccc1N(C(C)=O)C1=C(Cl)C(=O)c2ccccc2C1=O,5375.0
22,CHEMBL1416184,O=[N+]([O-])c1c(NCCO)cc(Sc2nc3ccccc3s2)c2nonc12,9167.0
23,CHEMBL167542,Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,6367.0
24,CHEMBL1699845,O=C1C(Cl)=C(Oc2ccccc2)C(=O)c2ccccc21,10161.0
25,CHEMBL1477528,Cc1ccccc1CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(F)cc2)n1,6246.0
26,CHEMBL1409883,CCCNC(=O)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,15601.0
27,CHEMBL1487952,CCOC(=O)c1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,8402.0
28,CHEMBL1319461,CCCN1C(=O)/C(=C/c2ccc(N3CCCC3)c(C)c2)NC1=S,6655.0
29,CHEMBL1458470,NNC(=O)c1oc2nc(-c3ccc(Cl)cc3)cc(-c3ccccc3)c2c1N,3785.0
30,CHEMBL505670,O=[N+]([O-])c1ccc(Sc2cccc[n+]2[O-])c2nonc12,7626.0
31,CHEMBL1458548,CCCNC(=O)c1nnsc1S(=O)(=O)c1ccc(Cl)cc1,16287.0
32,CHEMBL1543839,O=C(OCn1ncc(Cl)c(Cl)c1=O)c1ccccc1Cl,49768.0
33,CHEMBL1331822,O=C(c1ccccc1)c1cc(Cl)ccc1N1C(=O)C=CC1=O,14720.0
34,CHEMBL1544093,CCOC(=O)c1nc(S(C)(=O)=O)ncc1Cl,22354.0
35,CHEMBL1419822,Cn1c(=O)[nH]c(=O)c2c1nc([N+](=O)[O-])n2Cc1ccccc1,49797.0
36,CHEMBL1720248,CCN(CC)c1ccc(C=NNc2ccc([N+](=O)[O-])cn2)cc1,4504.0
37,CHEMBL1386978,COc1ccc(C(=O)c2sc3nc(-c4ccccc4)ccc3c2N)cc1OC,5800.0
38,CHEMBL1307050,CCc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,12102.0
39,CHEMBL1319618,O=c1c(Cl)c(Cl)cnn1Cc1nnc(-c2ccccc2Br)o1,49760.0
40,CHEMBL1573150,O=C(C1=NN(c2ccccc2)C2C(=O)N(c3ccc(Cl)cc3)C(=O)C12)c1ccccc1,11830.0
41,CHEMBL1543956,CCN(CC)c1ccc(/C=C/C(=O)C2C(=O)C=C(C)OC2=O)cc1,4877.0
